Num,Name,year,month,day,MA,perih,node,i,e,a,H0,G,Dia,DiaSrc,PEU/POS_1sigma,#Rings,#Moons,OrbSrc,OrbDate,Class,DiaUncert,ErrorMajor,ErrorMinor,ErrorMajorPA
550,Senta,2025,2,11,35.3255605516,45.1976539068,270.6607925030,10.1067685257,0.222065013288,2.588434988812,9.35,0.15,41.8,M,0.0027,0,0,JPL#69,2024-Dec-12,Binary,1.8,0.00274,0.00015,65.5
552,Sigelinde,2025,2,11,347.3898996240,345.7135385460,266.8508230124,7.6925050388,0.089835614166,3.150579896315,9.64,0.15,83.6,M,0.0020,0,0,JPL#69,2024-Dec-15,Binary,4.6,0.00200,0.00014,88.5
556,Phyllis,2025,2,11,15.4942620948,177.1691253705,285.9709554421,5.2492541117,0.104116616831,2.464324782746,9.54,0.15,37.1,M,0.0043,0,0,JPL#102,2024-Dec-12,Binary,1.8,0.00433,0.00052,101.7
562,Salome,2025,2,11,181.4850908462,262.0315497849,70.4537934916,11.1191067498,0.103708815593,3.015381475873,10.01,0.15,32.0,M,0.0020,0,0,JPL#66,2024-Dec-12,Binary,2.2,0.00185,0.00018,112.7
605,Juvisia,2025,2,11,323.1466326554,15.5764116473,342.6222397110,19.6336054458,0.136101419742,3.001832246230,10.03,0.15,65.6,M,0.0013,0,0,JPL#69,2024-Dec-12,Binary,3.8,0.00139,0.00011,55.5
616,Elly,2025,2,11,290.1712536592,109.0942321974,355.9691547380,14.9587008014,0.060725453359,2.552404179971,10.61,0.15,21.0,M,0.0010,0,0,JPL#70,2024-Dec-12,Binary,1.0,0.00105,0.00012,48.5
617,Patroclus,2025,2,11,18.7211356423,308.6450331863,44.3504434091,22.0644239343,0.139592794566,5.206226337800,8.25,0.15,141.2,M,0.0143,0,1,JPL#85,2024-Sep-13,Binary + Trojan,9.0,0.01400,0.00270,47.3
624,Hektor,2025,2,11,346.9243502993,179.9346771199,342.8028911561,18.1499551272,0.024090147591,5.275276718627,7.38,0.15,181.3,M,0.0123,0,1,JPL#132,2024-Dec-12,Binary + Trojan,10.2,0.01233,0.00046,128.8
625,Xenia,2025,2,11,328.1752494630,200.5001861057,127.5089124003,12.0762927171,0.227228541031,2.645925625453,10.01,0.15,27.3,M,0.0020,0,0,JPL#69,2024-Oct-12,Binary,1.6,0.00192,0.00018,92.3
674,Rachele,2025,2,11,43.4243252779,41.0847509954,58.0674503394,13.5138378871,0.193151179076,2.923567849981,7.47,0.15,93.8,M,0.0070,0,0,JPL#67,2024-Dec-12,Binary,5.4,0.00667,0.00085,122.1
699,Hela,2025,2,11,11.6268933792,91.4697439847,242.4952689317,15.2933575411,0.409414501896,2.612847319724,11.44,0.15,14.0,M,0.0023,0,0,JPL#65,2024-Dec-15,Binary,1.2,0.00219,0.00005,71.7
702,Alauda,2025,2,11,57.0770010620,353.1283130091,289.7133404320,20.6026901274,0.015603855421,3.192777377603,7.49,0.15,197.7,M,0.0017,0,1,JPL#129,2024-Dec-12,Binary,9.8,0.00171,0.00032,55.7
712,Boliviana,2025,2,11,242.2120717203,181.6551135930,230.6864552155,12.7558283829,0.185071884846,2.576671395762,8.59,0.03,117.8,M,0.0020,0,0,JPL#154,2024-Dec-15,Binary,6.6,0.00192,0.00030,77.1
720,Bohlinia,2025,2,11,268.5366843841,106.7171741260,35.6769986006,2.3527655774,0.018535335012,2.887422759957,9.70,0.15,36.0,M,0.0020,0,0,JPL#67,2024-Dec-12,Binary,2.0,0.00184,0.00018,66.4
723,Hammonia,2025,2,11,299.0686746042,251.4591626970,163.1578963717,4.9911888987,0.056220535253,2.992034701002,10.16,0.15,27.4,M,0.0010,0,0,JPL#67,2024-Dec-12,Binary,2.0,0.00107,0.00014,73.4
761,Brendelia,2025,2,11,28.6227566439,298.5079077257,23.7062984250,2.1550212137,0.061752767985,2.862397074758,10.87,0.15,21.6,M,0.0010,0,1,JPL#64,2024-Dec-12,Binary,1.6,0.00094,0.00013,66.0
762,Pulcova,2025,2,11,178.0417713167,188.6225042621,305.5132464877,13.1015559920,0.107589217310,3.153346246762,8.46,0.15,135.2,M,0.0017,0,1,JPL#138,2024-Dec-12,Binary,6.8,0.00164,0.00036,61.9
809,Lundia,2025,2,11,247.2536991936,196.2859124861,154.4959646180,7.1439264276,0.192146215323,2.283166009468,12.14,0.15,9.4,M,0.0010,0,1,JPL#103,2024-Oct-12,Binary,1.0,0.00084,0.00010,101.9
810,Atossa,2025,2,11,4.5288064769,195.8114743867,152.6808988000,2.6127631310,0.179954813498,2.178663219256,12.51,0.15,8.1,M,0.0007,0,0,JPL#72,2024-Dec-12,Binary,0.8,0.00082,0.00008,71.2
838,Seraphina,2025,2,11,357.3085168532,117.7630097987,240.0155527365,10.4229347998,0.130737963647,2.898361298420,10.29,0.15,54.8,M,0.0010,0,0,JPL#108,2024-Dec-12,Binary,2.8,0.00112,0.00008,72.0
854,Frostia,2025,2,11,250.9679630068,84.5969561339,190.5160647587,6.0855069960,0.175449401390,2.367534393983,12.05,0.15,8.1,M,0.0013,0,1,JPL#103,2024-Dec-12,Binary,0.6,0.00135,0.00028,106.7
858,El Djezair,2025,2,11,35.4690810351,177.8228326867,67.1083459825,8.8669830471,0.103507738381,2.810995777783,10.43,0.15,23.5,M,0.0020,0,0,JPL#66,2024-Dec-15,Binary,1.4,0.00202,0.00011,85.1
879,Ricarda,2025,2,11,210.1713047850,96.6731430943,269.7855120240,13.6816993975,0.154844172482,2.531389551268,11.13,0.15,17.8,M,0.0007,0,0,JPL#65,2024-Oct-11,Binary,1.0,0.00080,0.00019,102.9
923,Herluga,2025,2,11,307.9670466498,201.6347453519,197.4412151023,14.4646647862,0.194565486040,2.615242605279,11.55,0.15,34.2,M,0.0013,0,0,JPL#68,2024-Dec-12,Binary,1.6,0.00133,0.00012,80.7
930,Westphalia,2025,2,11,118.0888684163,330.6190236044,340.8703511637,15.3311151790,0.142893817711,2.432774897781,11.36,0.15,37.7,M,0.0010,0,0,JPL#78,2024-Dec-12,Binary,2.4,0.00094,0.00021,73.7
939,Isberga,2025,2,11,21.0270342404,6.1995356091,327.0339470197,2.5829610205,0.176242965487,2.246812413362,12.07,0.15,10.3,M,0.0010,0,1,JPL#64,2024-Dec-12,Binary,1.0,0.00104,0.00007,64.6
950,Ahrensa,2025,2,11,173.7665203706,348.5591523991,181.7163066379,23.5041405582,0.159683901839,2.370600819020,11.35,0.15,15.3,M,0.0007,0,0,JPL#72,2024-Dec-12,Binary,1.0,0.00056,0.00013,87.8
1016,Anitra,2025,2,11,265.9756753924,53.3007807518,8.8026375030,6.0351815636,0.127472818106,2.219384585122,11.89,0.15,9.5,M,0.0010,0,1,JPL#63,2024-Dec-15,Binary,1.0,0.00106,0.00011,68.3
1024,Hale,2025,2,11,323.7096277352,308.2331461495,58.7839345615,16.0679965637,0.221177219546,2.869090592049,10.92,0.15,45.0,M,0.0017,0,0,JPL#74,2024-Dec-15,Binary,2.2,0.00162,0.00013,75.1
1032,Pafuri,2025,2,11,45.8786541263,188.7652872862,76.2913743981,9.4801931580,0.140860449873,3.129840099436,10.32,0.15,58.3,M,0.0013,0,0,JPL#74,2024-Dec-12,Binary,2.8,0.00116,0.00014,73.8
1052,Belgica,2025,2,11,260.1615860047,297.7697540716,99.5370956543,4.6961034994,0.143141331269,2.236351127356,11.89,0.15,10.1,M,0.0007,0,1,JPL#76,2024-Dec-15,Binary,0.8,0.00077,0.00010,86.3
1089,Tama,2025,2,11,175.5641468262,354.4573220755,71.4490000622,3.7270351656,0.127192666666,2.214179091943,11.64,0.15,13.2,M,0.0007,0,1,JPL#97,2024-Oct-12,Binary,0.6,0.00077,0.00011,97.3
1109,Tata,2025,2,11,161.0551621910,3.2673447532,267.8666424831,4.1320104369,0.096621100756,3.238413314086,10.06,0.15,64.4,M,0.0013,0,0,JPL#71,2024-Dec-12,Binary,3.6,0.00137,0.00015,81.4
1127,Mimi,2025,2,11,42.4399561224,282.7081078401,128.3103969581,14.7720204364,0.265980628823,2.593202671606,10.61,0.15,47.3,M,0.0037,0,0,JPL#70,2024-Dec-12,Binary,2.4,0.00367,0.00027,82.1
1139,Atami,2025,2,11,15.9869420069,206.7575853163,213.2929835816,13.0864939763,0.255770259463,1.947623256554,12.58,0.15,10.0,6,0.0020,0,1,JPL#99,2024-Dec-12,Binary,1.0,0.00197,0.00017,93.5
1169,Alwine,2025,2,11,194.7892797732,177.1372395803,254.9680147385,4.0538671995,0.154360107670,2.318778885810,12.83,0.15,8.1,M,0.0007,0,1,JPL#54,2024-Oct-12,Binary,0.8,0.00053,0.00013,83.9
1194,Aletta,2025,2,11,352.4819666063,247.4367170655,290.8005748017,10.8494897939,0.089834771619,2.913478878394,10.63,0.15,40.6,M,0.0023,0,0,JPL#65,2024-Dec-12,Binary,2.2,0.00230,0.00023,116.8
1200,Imperatrix,2025,2,11,252.4539013100,53.0248555250,204.5877234185,4.6148616835,0.112611471396,3.058068192726,10.94,0.15,40.5,M,0.0017,0,0,JPL#76,2024-Dec-12,Binary,2.0,0.00173,0.00019,106.0
1237,Genevieve,2025,2,11,81.7548373895,307.4198206277,57.8255136576,9.7318091519,0.077933422784,2.613515175424,11.05,0.15,40.1,M,0.0013,0,0,JPL#68,2024-Dec-12,Binary,2.4,0.00120,0.00019,69.4
1313,Berna,2025,2,11,2.8311591047,100.3631462887,298.0882019627,12.5573261399,0.206859004428,2.656184853151,11.69,0.15,14.3,M,0.0017,0,1,JPL#106,2024-Dec-12,Binary,1.0,0.00165,0.00010,64.9
1338,Duponta,2025,2,11,169.1392370748,110.6103872500,325.4847879399,4.8129732724,0.112061898438,2.264234547563,12.81,0.15,7.5,M,0.0007,0,1,JPL#64,2024-Oct-12,Binary,0.8,0.00055,0.00007,88.3
1344,Caubeta,2025,2,11,245.9348038568,133.1549472771,60.0119418275,5.6551599234,0.119985711197,2.248573722021,12.86,0.15,5.9,M,0.0007,0,1,JPL#60,2024-Dec-12,Binary,0.6,0.00076,0.00013,64.0
1359,Prieska,2025,2,11,359.1060378102,342.8899320320,64.0073892845,11.1063070357,0.070728688107,3.118234605839,10.42,0.15,48.6,M,0.0013,0,0,JPL#67,2024-Dec-12,Binary,2.6,0.00125,0.00012,58.8
1408,Trusanda,2025,2,11,71.2300888590,186.0258544549,201.3981149330,8.3471999600,0.097382824146,3.108964214828,11.29,0.15,35.1,M,0.0013,0,0,JPL#60,2024-Dec-12,Binary,1.6,0.00135,0.00018,93.7
1438,Wendeline,2025,2,11,157.7396862957,129.0594805819,238.1985247003,2.0435469281,0.237230008690,3.158217228563,11.58,0.15,37.6,M,0.0013,0,0,JPL#59,2024-Dec-12,Binary,3.0,0.00147,0.00016,111.4
1453,Fennia,2025,2,11,17.7039853883,254.8529719485,7.0480275904,23.6690744911,0.028492040565,1.897071609461,12.49,0.15,7.6,M,0.0007,0,1,JPL#56,2024-Oct-12,Binary,0.4,0.00060,0.00010,71.1
1457,Ankara,2025,2,11,352.1751587569,296.7450672881,296.0763149821,6.0839942793,0.158075626862,2.694833862067,10.81,0.15,20.1,M,0.0017,0,0,JPL#67,2024-Aug-01,Binary,1.2,0.00154,0.00025,94.1
1464,Armisticia,2025,2,11,51.6564165156,60.8276457850,86.5499153785,11.5450035384,0.045210324361,3.003866712863,10.99,0.15,23.5,M,0.0013,0,0,JPL#65,2024-Dec-14,Binary,2.8,0.00149,0.00012,116.4
1480,Aunus,2025,2,11,242.1431404181,65.5962228192,63.5824565328,4.8599384457,0.109286214332,2.201831227428,13.22,0.15,6.4,M,0.0007,0,1,JPL#58,2024-Dec-12,Binary,0.6,0.00053,0.00012,61.8
1481,Tubingia,2025,2,11,71.3937449116,315.6223052227,353.6407340134,3.5081456043,0.041346087144,3.016106665996,10.47,0.15,36.8,M,0.0010,0,0,JPL#74,2024-Dec-12,Binary,1.8,0.00112,0.00011,63.4
1509,Esclangona,2025,2,11,195.5584891680,267.7385942644,283.4778597953,22.3205708063,0.032509014150,1.866141046630,12.69,0.15,8.0,M,0.0003,0,1,JPL#91,2024-Dec-12,Binary,0.8,0.00040,0.00010,61.8
1509,Esclangona,2025,2,11,195.5584891680,267.7385942644,283.4778597953,22.3205708063,0.032509014150,1.866141046630,12.69,0.15,8.0,M,0.0003,0,1,JPL#91,2024-Dec-12,Binary,0.8,0.00040,0.00010,61.8
1526,Mikkeli,2025,2,11,61.9997984764,72.8686247150,336.8315235822,6.2062365117,0.187547133567,2.314725393050,13.23,0.15,5.3,M,0.0017,0,1,JPL#62,2024-Dec-12,Binary,0.6,0.00178,0.00017,110.2
1569,Evita,2025,2,11,216.7244278514,248.2597669770,99.4203412378,12.2514702722,0.131463046860,3.148616221633,11.18,0.15,37.4,M,0.0017,0,0,JPL#70,2024-Aug-01,Binary,1.8,0.00177,0.00013,115.1
1602,Indiana,2025,2,11,132.9311206624,73.9898918897,75.0407163247,4.1621821844,0.103774204542,2.244814109570,12.29,0.15,8.3,M,0.0007,0,0,JPL#71,2024-Dec-15,Binary,0.8,0.00075,0.00013,82.5
1626,Sadeya,2025,2,11,27.3099620524,149.2737063939,279.4561371722,25.3208959175,0.273911728270,2.363558399624,11.10,0.15,14.9,M,0.0030,0,1,JPL#69,2024-Dec-12,Binary,0.8,0.00312,0.00041,117.3
1639,Bower,2025,2,11,235.2140988251,106.8429439066,324.1125330119,8.4416400845,0.148143694499,2.573436718213,11.19,0.15,37.5,M,0.0007,0,0,JPL#63,2024-Dec-12,Binary,2.0,0.00067,0.00009,69.7
1656,Suomi,2025,2,11,135.5532659223,287.4859643303,175.5159042468,25.0657519035,0.123241449914,1.877710108814,12.93,0.15,6.9,M,0.0013,0,1,JPL#61,2024-Dec-14,Binary,0.8,0.00147,0.00014,90.9
